ID_FORMATION,id_formateur,Telephone,adresse,LIENS
230,997,01 02 51 81 54,en ligne,https://www.coursera.org/learn/fondamentaux-negociation
230,997,06 61 48 08 21,en ligne,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse
230,997,03 68 11 02 11,en ligne,https://www.coursera.org/learn/innovation-publique-pensee-design
230,998,07 83 67 70 52,en ligne,https://www.coursera.org/learn/introduction-to-customer-service
230,999,02 83 77 77 49,en ligne,https://www.coursera.org/learn/negotiation-skills-fr
230,997,06 63 18 17 04,en ligne,https://www.coursera.org/learn/originalite-et-modernite-du-mutualisme
230,997,07 05 12 35 25,en ligne,https://www.coursera.org/learn/animer-seance-collaborative
230,997,01 61 98 31 10,en ligne,https://www.coursera.org/learn/raison-etre-et-entreprise-a-mission
230,1000,06 06 64 11 01,en ligne,https://www.coursera.org/learn/marketing-gerencial
230,1001,04 81 18 64 81,en ligne,https://www.coursera.org/learn/investigacion-de-mercados
230,1002,04 43 74 22 88,en ligne,https://www.coursera.org/professional-certificates/gestion-de-projet-de-google
230,1003,05 87 51 85 37,en ligne,https://www.coursera.org/learn/voice-of-the-customer-voc-enhancing-experiences
231,997,02 54 98 82 73,en ligne,https://www.coursera.org/learn/fondamentaux-negociation
231,999,01 72 13 95 74,en ligne,https://www.coursera.org/learn/negotiation-skills-fr
231,997,07 85 46 71 58,en ligne,https://www.coursera.org/learn/reussir-le-changement
231,997,03 28 09 99 33,en ligne,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse
231,998,04 57 21 88 49,en ligne,https://www.coursera.org/learn/introduction-to-customer-service
231,997,05 96 32 87 99,en ligne,https://www.coursera.org/specializations/hotel-management
231,1004,06 28 29 96 70,en ligne,https://www.coursera.org/learn/gestion-comunicacion-interna-organizaciones
231,1005,06 79 48 94 70,en ligne,https://www.coursera.org/learn/relationship-management-and-business-development
231,1006,01 90 36 43 64,en ligne,https://www.coursera.org/learn/private-equity-fr
231,997,05 41 88 23 03,en ligne,https://www.coursera.org/learn/innovation-publique-pensee-design
231,1007,07 87 57 72 53,en ligne,https://www.coursera.org/learn/consolidando-empresas
231,1000,01 26 77 79 18,en ligne,https://www.coursera.org/learn/marketing-gerencial
234,997,02 56 76 91 69,en ligne,https://www.coursera.org/learn/fondamentaux-negociation
234,999,07 65 08 79 41,en ligne,https://www.coursera.org/learn/negociacion
234,1000,02 36 47 20 68,en ligne,https://www.coursera.org/learn/costosparanegocios
234,999,02 14 37 75 90,en ligne,https://www.coursera.org/learn/negotiation-skills-fr
234,1006,01 78 88 82 97,en ligne,https://www.coursera.org/learn/private-equity-fr
234,997,01 90 09 50 05,en ligne,https://www.coursera.org/specializations/negotiation-mediation-conflict-resolution
234,1008,02 19 48 62 04,en ligne,https://www.coursera.org/learn/negociacin-y-resolucin-de-conflictos
234,1009,06 20 76 66 45,en ligne,https://www.coursera.org/learn/work-smarter-not-harder-ar
234,1010,07 15 74 07 77,en ligne,https://www.coursera.org/projects/create-amazing-designs-using-canva-ar
234,997,06 22 63 20 74,en ligne,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse
234,1011,07 70 41 11 67,en ligne,https://www.coursera.org/learn/negocios-internacionales
234,997,04 95 39 70 03,en ligne,https://www.coursera.org/learn/impactinvestinginnover
238,997,03 01 47 74 32,en ligne,https://www.coursera.org/learn/fondamentaux-negociation
238,999,07 89 90 69 85,en ligne,https://www.coursera.org/learn/negociacion
238,997,04 24 10 27 36,en ligne,https://www.coursera.org/learn/reporting-extra-financier-strategie-rse
238,1010,07 14 05 37 19,en ligne,https://www.coursera.org/projects/creer-site-web-gratuit-wordpress
238,999,05 33 93 86 75,en ligne,https://www.coursera.org/learn/negotiation-skills-fr
238,997,05 53 84 73 82,en ligne,https://www.coursera.org/learn/animer-seance-collaborative
238,1000,01 41 02 38 97,en ligne,https://www.coursera.org/learn/costosparanegocios
238,1012,05 94 20 44 38,en ligne,https://www.coursera.org/learn/marketing-verde
238,997,02 13 45 31 98,en ligne,https://www.coursera.org/learn/partenariats-qui-changent-le-monde
238,997,02 72 89 90 70,en ligne,https://www.coursera.org/learn/innovation-publique-pensee-design
238,997,02 13 84 18 57,en ligne,https://www.coursera.org/learn/entrepreneuriatquichangelemonde
